hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
12.0,Azul,cooktop,Norte,2.7122942e+16,PA,3.0,tatuquara,belem,muitodistante,4,5.121855340488184,5.0,11,1,7,1,1.0,4.0,5.0,1.0
14.0,Bertolini,conjunto,Norte,2444924600000000.0,RO,2.0,tatuquara,portovelho,muitodistante,13,12.896494529773882,13.0,21,1,8,1,0.0,12.0,12.0,0.0
14.0,Bertolini,lava-loucas,Norte,2748173500000000.0,PA,2.0,tatuquara,capanema,muitodistante,18,14.113367786921991,14.0,25,1,7,0,-4.0,17.0,13.0,-4.0
17.0,Bertolini,adega,Norte,1.9822496e+16,PA,2.0,tatuquara,redencao,muitodistante,15,12.697486495824702,13.0,28,1,13,0,-2.0,14.0,12.0,-2.0
17.0,Bertolini,purificador,Norte,1.4918142e+16,AC,2.0,tatuquara,riobranco,longadistancia,19,15.115712988955272,15.0,25,1,6,0,-4.0,18.0,15.0,-3.0
23.0,Bertolini,lava-loucas,Norte,2.7122942e+16,PA,2.0,tatuquara,belem,muitodistante,15,13.520711725430576,14.0,20,1,5,0,-1.0,14.0,12.0,-2.0
12.0,Bertolini,depurador,Norte,2444924600000000.0,RO,3.0,tatuquara,portovelho,muitodistante,12,12.614723666115488,13.0,20,1,8,1,1.0,12.0,12.0,0.0
11.0,TSV,freezer,Norte,1478244300000000.0,TO,3.0,tatuquara,parana,longadistancia,11,10.76238903480293,11.0,21,1,10,1,0.0,11.0,10.0,-1.0
14.0,TSV,panela,Norte,1.9980096e+16,TO,3.0,tatuquara,bernardosayao,muitodistante,17,16.15445670035259,16.0,24,1,7,0,-1.0,17.0,15.0,-2.0
14.0,TSV,bebedouro,Norte,2761129800000000.0,TO,3.0,tatuquara,palmas,curtadistancia,7,10.443867629530903,10.0,13,1,6,1,3.0,7.0,10.0,3.0
16.0,TSV,lava-loucas,Norte,1.879616e+16,TO,3.0,tatuquara,pedroafonso,muitodistante,10,13.582419987638232,14.0,14,1,4,1,4.0,10.0,14.0,4.0
16.0,TSV,aspirador,Norte,2761129800000000.0,TO,3.0,tatuquara,palmas,curtadistancia,7,10.5585410779555,11.0,13,1,6,1,4.0,7.0,10.0,3.0
13.0,Bertolini,bebedouro,Norte,2444924600000000.0,RO,3.0,tatuquara,portovelho,muitodistante,12,12.7772258131818,13.0,20,1,8,1,1.0,11.0,13.0,2.0
15.0,Bertolini,aspirador,Norte,2.7122942e+16,PA,3.0,tatuquara,belem,muitodistante,17,13.420315428661695,13.0,19,1,2,0,-4.0,16.0,13.0,-3.0
18.0,Bertolini,adega,Norte,2547588300000000.0,PA,3.0,tatuquara,paragominas,muitodistante,19,13.00901888653739,13.0,27,1,8,0,-6.0,18.0,13.0,-5.0
21.0,Bertolini,depurador,Norte,2315303300000000.0,RO,3.0,tatuquara,buritis,muitodistante,13,14.92515561089414,15.0,24,1,11,1,2.0,12.0,14.0,2.0
22.0,Bertolini,lava-loucas,Norte,1.4918142e+16,AC,3.0,tatuquara,riobranco,longadistancia,17,16.366695240338,16.0,24,1,7,0,-1.0,16.0,16.0,0.0
11.0,TSV,panela,Norte,2.1453317e+16,RO,4.0,tatuquara,teixeiropolis,muitodistante,11,14.980872032621303,15.0,23,1,12,1,4.0,11.0,15.0,4.0
14.0,TSV,lava-loucas,Norte,1.5695426e+16,TO,4.0,tatuquara,gurupi,muitodistante,10,11.982339811408377,12.0,24,1,14,1,2.0,10.0,12.0,2.0
18.0,TSV,adega,Norte,2761129800000000.0,TO,4.0,tatuquara,palmas,curtadistancia,11,11.15522302761021,11.0,13,1,2,1,0.0,11.0,11.0,0.0
12.0,TSV,lava-loucas,Norte,1.6023367e+16,TO,5.0,tatuquara,dianopolis,muitodistante,10,13.056839031770531,13.0,24,1,14,1,3.0,10.0,14.0,4.0
20.0,TSV,aspirador,Norte,2444924600000000.0,RO,5.0,tatuquara,portovelho,muitodistante,15,14.801377274487898,15.0,22,1,7,1,0.0,15.0,14.0,-1.0
22.0,TSV,aspirador,Norte,2.0766614e+16,TO,5.0,tatuquara,araguaina,muitodistante,11,13.158225684955138,13.0,22,1,11,1,2.0,11.0,13.0,2.0
21.0,GFL,aspirador,Norte,2761129800000000.0,TO,5.0,tatuquara,palmas,curtadistancia,11,10.80930265961332,11.0,18,1,7,1,0.0,11.0,10.0,-1.0
10.0,GFL,purificador,Norte,2723667000000000.0,PA,5.0,tatuquara,benevides,muitodistante,12,14.091289728951768,14.0,24,1,12,1,2.0,12.0,14.0,2.0
16.0,Azul,aspirador,Norte,2444924600000000.0,RO,3.0,tatuquara,portovelho,muitodistante,13,8.087824183854643,8.0,12,0,-1,0,-5.0,10.0,6.0,-4.0
16.0,Azul,depurador,Norte,2.1273705e+16,RO,3.0,tatuquara,ji-parana,muitodistante,11,7.728544842931567,8.0,19,1,8,0,-3.0,8.0,7.0,-1.0
20.0,Azul,purificador,Norte,2772596800000000.0,AM,3.0,tatuquara,manaus,muitodistante,7,6.114415108873642,6.0,10,1,3,0,-1.0,4.0,4.0,0.0
20.0,Azul,adega,Norte,2761129800000000.0,TO,3.0,tatuquara,palmas,curtadistancia,7,5.891734479615851,6.0,10,1,3,0,-1.0,4.0,4.0,0.0
22.0,Azul,adega,Norte,2761129800000000.0,TO,3.0,tatuquara,palmas,curtadistancia,7,6.019997797888781,6.0,10,1,3,0,-1.0,4.0,4.0,0.0
23.0,Azul,purificador,Norte,2772596800000000.0,AM,3.0,tatuquara,manaus,muitodistante,7,6.300014138410072,6.0,10,1,3,0,-1.0,4.0,4.0,0.0
